name,genre_1,price,tier,total_votes,pos_ratio,p_bayes,p_ml,b_rating,score_finale
Brigador: Up-Armored Edition,action,mid_price,very_positive,1648,93.3,0.842,0.775,0.904,0.8562
Paint the Town Red,action,mid_price,very_positive,5241,90.7,0.842,0.775,0.898,0.853
Motorsport Manager,management,mid_price,very_positive,4766,89.8,0.854,0.778,0.889,0.8522
Call of Duty® 2,action,mid_price,very_positive,2670,91.2,0.842,0.775,0.895,0.8514
Devil Daggers,fps,budget,overwhelmingly_positive,4684,95.3,0.776,0.749,0.94,0.8513
Chivalry: Medieval Warfare,medieval,mid_price,mostly_positive,62438,82.5,0.925,0.828,0.824,0.8505
Freedom Planet,platformer,mid_price,overwhelmingly_positive,3712,95.6,0.773,0.738,0.94,0.8481
Half-Life: Blue Shift,fps,budget,very_positive,4242,90.1,0.837,0.773,0.891,0.848
Apotheon,action,mid_price,very_positive,2479,90.3,0.842,0.775,0.886,0.8471
Hyper Light Drifter,pixel_graphics,mid_price,very_positive,11748,93.9,0.773,0.738,0.934,0.8448
Tower of Guns,fps,mid_price,mostly_positive,974,82.2,0.925,0.845,0.804,0.8445
Dishonored,stealth,budget,overwhelmingly_positive,43025,97.1,0.79,0.649,0.969,0.8442
Half-Life 2: Episode One,fps,budget,very_positive,8425,93.9,0.776,0.73,0.932,0.8425
Crimsonland,action,mid_price,very_positive,1766,89.9,0.842,0.775,0.876,0.8422
Retro City Rampage™ DX,action,mid_price,very_positive,2248,89.2,0.842,0.775,0.875,0.8413
Wizard of Legend,action,mid_price,very_positive,4525,88.2,0.842,0.775,0.873,0.8407
Full Metal Furies,action,mid_price,very_positive,1057,91.1,0.842,0.771,0.874,0.8402
Spec Ops: The Line,third_person_shooter,mid_price,very_positive,34974,92.5,0.773,0.738,0.924,0.8398
ShellShock Live,tanks,budget,very_positive,12690,90.0,0.809,0.755,0.897,0.8394
Unreal Tournament 2004: Editor's Choice Edition,fps,budget,overwhelmingly_positive,2277,97.1,0.79,0.677,0.945,0.8392
Day of Defeat: Source,fps,budget,very_positive,11699,89.7,0.809,0.761,0.893,0.8389
Unreal Tournament: Game of the Year Edition,classic,budget,overwhelmingly_positive,2199,97.0,0.79,0.677,0.943,0.8385
Sky Rogue,action,mid_price,very_positive,665,92.3,0.842,0.771,0.868,0.837
ibb & obb,puzzle,budget,very_positive,3336,93.7,0.776,0.73,0.921,0.837
Major\Minor,horror,mid_price,mostly_positive,417,80.3,0.997,0.79,0.779,0.8364
Spooky's Jump Scare Mansion,horror,free,very_positive,9755,92.6,0.992,0.51,0.92,0.8358
Iron Snout,free_to_play,free,overwhelmingly_positive,14166,98.0,0.794,0.597,0.976,0.8356
PAYDAY 2,action,budget,mostly_positive,365180,84.5,0.997,0.651,0.845,0.8345
Knock-knock,horror,budget,very_positive,1078,87.8,0.995,0.642,0.849,0.8335
EVERSPACE™,space,mid_price,mostly_positive,5148,78.9,0.925,0.828,0.786,0.8315
The Darkness II,fps,mid_price,very_positive,13226,90.7,0.773,0.738,0.903,0.8295
Sanctum 2,tower_defense,mid_price,very_positive,12902,90.1,0.773,0.749,0.898,0.8295
Charlie Murder,action,budget,very_positive,327,93.0,0.997,0.635,0.841,0.8286
Horizon Chase Turbo,racing,mid_price,overwhelmingly_positive,712,96.6,0.817,0.694,0.901,0.8282
Shadow Warrior Classic Redux,fps,budget,very_positive,1940,92.2,0.776,0.739,0.898,0.8282
STAR WARS™ Republic Commando™,star_wars,budget,very_positive,6771,94.4,0.79,0.649,0.936,0.8275
RUINER,cyberpunk,mid_price,very_positive,5821,90.7,0.773,0.738,0.899,0.8273
Space Pirates and Zombies,space,budget,very_positive,2517,92.0,0.776,0.73,0.901,0.8271
Cube Runner,action,budget,very_positive,618,88.3,0.997,0.635,0.838,0.827
Valdis Story: Abyssal City,metroidvania,mid_price,mostly_positive,2279,84.9,0.854,0.778,0.837,0.8262
Nyan Cat: Lost In Space,memes,budget,very_positive,1500,92.9,0.776,0.73,0.899,0.8259
Verdun,world_war_i,mid_price,mostly_positive,26466,83.3,0.854,0.783,0.832,0.8252
Clustertruck,parkour,mid_price,very_positive,4982,90.3,0.773,0.738,0.894,0.8248
Hitman: Blood Money,stealth,budget,very_positive,6255,93.7,0.79,0.649,0.929,0.824
Ori and the Blind Forest: Definitive Edition,platformer,mid_price,overwhelmingly_positive,16513,96.2,0.678,0.699,0.958,0.8232
Katana ZERO,action,mid_price,overwhelmingly_positive,1892,97.7,0.727,0.673,0.945,0.8225
Day of Defeat,fps,budget,very_positive,3814,89.6,0.776,0.739,0.885,0.8213
Danganronpa Another Episode: Ultra Despair Girls,anime,mid_price,very_positive,977,92.2,0.678,0.843,0.881,0.8205
Bud Spencer & Terence Hill - Slaps And Beans,beat_em_up,mid_price,very_positive,746,94.1,0.773,0.738,0.885,0.8204
"Star Wars: Battlefront 2 (Classic, 2005)",star_wars,budget,very_positive,31574,92.3,0.79,0.649,0.922,0.8204
Deep Rock Galactic,action,mid_price,very_positive,11092,92.4,0.777,0.662,0.92,0.8196
Team Fortress 2,free_to_play,free,very_positive,549915,93.8,0.794,0.604,0.938,0.8185
STAR WARS™ Jedi Knight II - Jedi Outcast™,star_wars,budget,very_positive,2239,90.2,0.776,0.73,0.884,0.8184
Day of Infamy,world_war_ii,mid_price,mostly_positive,17518,81.9,0.854,0.783,0.818,0.818
Orcs Must Die! 2,tower_defense,mid_price,overwhelmingly_positive,14003,95.1,0.678,0.699,0.947,0.8176
GORN,violent,mid_price,overwhelmingly_positive,3481,96.4,0.678,0.699,0.947,0.8176
Distance,racing,mid_price,very_positive,4268,93.5,0.666,0.755,0.922,0.8163
STAR WARS™ - Dark Forces,fps,budget,very_positive,1672,89.8,0.776,0.739,0.875,0.8162
Magicka,comedy,budget,very_positive,22876,91.4,0.79,0.649,0.912,0.8157
Lovers in a Dangerous Spacetime,action,mid_price,very_positive,1975,94.7,0.727,0.695,0.92,0.8157
Lethal League Blaze,action,mid_price,overwhelmingly_positive,1813,96.4,0.708,0.687,0.933,0.8153
Just Cause 2,open_world,budget,very_positive,36867,91.2,0.79,0.649,0.911,0.8152
Borderlands: The Pre-Sequel,action,mid_price,mostly_positive,21985,76.9,0.995,0.729,0.769,0.8152
King Arthur's Gold,action,free,mostly_positive,3770,82.9,0.984,0.63,0.823,0.8151
SteamWorld Dig 2,adventure,mid_price,overwhelmingly_positive,1498,96.3,0.665,0.739,0.927,0.8145
Move or Die,local_multiplayer,mid_price,very_positive,9878,87.4,0.773,0.738,0.87,0.813
SUPERHOT,fps,mid_price,very_positive,17049,87.1,0.773,0.738,0.869,0.8123
DOOM 3,horror,free,very_positive,3009,87.5,0.984,0.535,0.863,0.8115
Nation Red,zombies,budget,very_positive,2365,88.5,0.776,0.73,0.869,0.8112
DmC: Devil May Cry,action,mid_price,very_positive,15776,93.9,0.708,0.665,0.936,0.8112
Sky Force Reloaded,shoot_em_up,budget,very_positive,552,93.5,0.776,0.73,0.868,0.8106
Hidden in Plain Sight,local_multiplayer,budget,very_positive,304,98.7,0.776,0.73,0.867,0.81
Notch - The Innocent LunA: Eclipsed SinnerS,anime,budget,very_positive,651,88.8,0.79,0.763,0.843,0.8098
Clone Drone in the Danger Zone,action,mid_price,very_positive,1990,94.6,0.727,0.673,0.919,0.8097
Ion Maiden,action,mid_price,overwhelmingly_positive,991,97.2,0.727,0.673,0.919,0.8095
PAYDAY™ The Heist,fps,mid_price,very_positive,37178,93.2,0.678,0.699,0.93,0.8093
DOOM,fps,mid_price,very_positive,73692,93.0,0.678,0.699,0.929,0.8088
EARTH DEFENSE FORCE 4.1 The Shadow of New Despair,action,mid_price,very_positive,4592,94.2,0.708,0.665,0.93,0.8082
Battle Chef Brigade Deluxe,action,mid_price,overwhelmingly_positive,1059,96.8,0.727,0.665,0.919,0.8075
Super Hexagon,indie,budget,overwhelmingly_positive,20413,97.0,0.669,0.624,0.967,0.8064
Double Action: Boogaloo,free_to_play,free,very_positive,10038,92.2,0.794,0.597,0.917,0.8061
Hob,adventure,mid_price,very_positive,2673,88.9,0.785,0.691,0.874,0.8061
Overcooked! 2,action,mid_price,mostly_positive,6636,80.8,0.842,0.771,0.805,0.8057
FOTONICA,indie,mid_price,very_positive,680,87.9,0.785,0.76,0.838,0.8055
Hand of Fate 2,rpg,mid_price,very_positive,2824,86.6,0.75,0.763,0.855,0.8053
Higurashi When They Cry Hou - Ch.2 Watanagashi,visual_novel,budget,very_positive,328,97.0,0.785,0.711,0.862,0.8052
Grand Theft Auto: San Andreas,open_world,budget,very_positive,30120,89.2,0.79,0.649,0.891,0.8051
Max Payne,noir,budget,very_positive,4361,90.0,0.79,0.649,0.89,0.8048
Red Orchestra: Ostfront 41-45,world_war_ii,budget,very_positive,1785,87.5,0.776,0.73,0.856,0.8047
Starward Rogue,bullet_hell,budget,very_positive,405,93.8,0.776,0.73,0.856,0.8046
SOMA,horror,mid_price,overwhelmingly_positive,17217,95.6,0.643,0.668,0.953,0.804
Samurai Gunn,local_multiplayer,mid_price,very_positive,358,94.1,0.773,0.738,0.852,0.8039
Overload,action,mid_price,overwhelmingly_positive,953,95.9,0.727,0.673,0.908,0.8039
Yakuza Kiwami,action,mid_price,very_positive,1565,92.6,0.777,0.645,0.897,0.8039
Bit Blaster XL,indie,budget,overwhelmingly_positive,5366,97.3,0.669,0.624,0.961,0.8036
Risk of Rain 2,rogue_like,mid_price,very_positive,18877,94.8,0.657,0.666,0.945,0.8033
Wonder Boy: The Dragon's Trap,adventure,mid_price,very_positive,1077,89.4,0.788,0.701,0.862,0.8033
Jets'n'Guns Gold,shoot_em_up,budget,very_positive,1099,88.2,0.776,0.73,0.852,0.8028
Fistful of Frags,free_to_play,free,very_positive,26202,90.8,0.794,0.604,0.907,0.8028
METAL GEAR RISING: REVENGEANCE,action,mid_price,very_positive,14879,92.2,0.708,0.665,0.919,0.8026
Hellblade: Senua's Sacrifice,psychological,mid_price,very_positive,22032,91.8,0.678,0.699,0.916,0.802
Mark of the Ninja: Remastered,action,mid_price,very_positive,849,94.5,0.727,0.695,0.893,0.8019
Blood and Bacon,gore,budget,very_positive,17817,94.4,0.7,0.625,0.941,0.8016
Project Nimbus,mechs,mid_price,very_positive,1015,87.5,0.773,0.738,0.845,0.8006
Super 3-D Noah's Ark,fps,budget,very_positive,551,90.4,0.776,0.73,0.848,0.8005
SkyDrift,racing,budget,very_positive,869,88.7,0.996,0.503,0.851,0.8001
Brothers - A Tale of Two Sons,adventure,mid_price,very_positive,33397,94.9,0.689,0.617,0.947,0.8
Turok 2: Seeds of Evil,action,mid_price,very_positive,1041,94.4,0.727,0.673,0.9,0.7998
Scanner Sombre,exploration,budget,very_positive,1726,86.4,0.776,0.73,0.846,0.7998
HELLDIVERS™ A New Hell Edition,twin_stick_shooter,mid_price,very_positive,14287,91.4,0.678,0.699,0.911,0.7996
"Guns, Gore and Cannoli 2",action,mid_price,very_positive,1196,93.7,0.727,0.673,0.899,0.7993
Songbringer,adventure,mid_price,mostly_positive,199,81.9,0.869,0.777,0.775,0.7989
Orbt XL,indie,budget,overwhelmingly_positive,2145,97.9,0.669,0.624,0.95,0.7983
Amnesia: The Dark Descent,horror,mid_price,very_positive,21421,94.4,0.643,0.668,0.941,0.7983
Forward to the Sky,anime,budget,mostly_positive,1709,83.4,0.837,0.714,0.821,0.7982
Tom Clancy's Ghost Recon®,tactical,budget,very_positive,581,92.3,0.79,0.677,0.862,0.7979
Pyre,indie,mid_price,very_positive,4758,90.5,0.721,0.677,0.896,0.7973
FORCED SHOWDOWN,indie,mid_price,very_positive,555,86.1,0.785,0.76,0.821,0.7966
DeadCore,platformer,budget,very_positive,1712,85.6,0.776,0.73,0.839,0.7962
Candleman: The Complete Journey,action,mid_price,overwhelmingly_positive,587,95.1,0.727,0.695,0.881,0.7962
"Warhammer 40,000: Space Marine",warhammer_40k,mid_price,very_positive,10845,90.8,0.678,0.699,0.904,0.7959
Ittle Dew 2,adventure,mid_price,mostly_positive,157,80.9,0.869,0.777,0.767,0.7951
We Need To Go Deeper,underwater,budget,very_positive,1645,85.2,0.776,0.73,0.836,0.7944
Call of Duty®: Black Ops,action,mid_price,very_positive,16040,88.5,0.777,0.633,0.883,0.7938
Screencheat,action,mid_price,very_positive,1256,92.1,0.727,0.673,0.887,0.7936
Tannenberg,world_war_i,mid_price,mostly_positive,3626,83.3,0.773,0.749,0.826,0.7936
Serena,horror,free,mostly_positive,5935,77.4,0.984,0.644,0.773,0.7933
Devil May Cry® 4 Special Edition,action,mid_price,very_positive,5545,90.8,0.708,0.665,0.9,0.7932
Wolfenstein: The New Order,fps,mid_price,very_positive,29738,89.9,0.678,0.699,0.897,0.7927
Call of Duty®,fps,mid_price,very_positive,1672,93.0,0.678,0.688,0.902,0.7925
SYNTHETIK: Legion Rising,action,mid_price,very_positive,1024,92.6,0.708,0.687,0.885,0.7912
Figment,indie,mid_price,mostly_positive,484,84.7,0.785,0.76,0.808,0.7904
Devil May Cry 4,action,mid_price,very_positive,1764,91.8,0.708,0.665,0.893,0.7899
Shantae: Half-Genie Hero,platformer,mid_price,very_positive,1864,91.4,0.678,0.699,0.891,0.7895
Detention,horror,budget,mostly_positive,11228,76.1,0.995,0.642,0.76,0.7892
Overlord™: Raising Hell,rpg,budget,very_positive,1021,92.7,0.739,0.645,0.885,0.7887
Furi,action,mid_price,very_positive,4673,89.9,0.708,0.665,0.889,0.7879
The Adventure Pals,adventure,mid_price,very_positive,231,93.9,0.788,0.701,0.83,0.7873
GUN™,western,budget,very_positive,827,89.5,0.79,0.649,0.855,0.7872
Far Cry 3,open_world,mid_price,very_positive,51953,89.2,0.678,0.688,0.891,0.7871
Five Nights at Freddy's,horror,budget,very_positive,17963,87.9,0.856,0.538,0.877,0.7867
Yakuza 0,action,mid_price,very_positive,10366,87.0,0.777,0.633,0.867,0.7859
Drunken Robot Pornography,fps,mid_price,mostly_positive,623,84.1,0.773,0.749,0.81,0.7856
Saints Row 2,open_world,budget,mostly_positive,12323,76.6,0.837,0.773,0.766,0.7855
Trackmania United Forever Star Edition,racing,mid_price,very_positive,1018,94.6,0.713,0.628,0.9,0.7854
Unreal Tournament 3 Black,fps,mid_price,very_positive,2692,89.7,0.678,0.699,0.882,0.7849
Ballistic Overkill,fps,budget,mostly_positive,6120,75.9,0.837,0.785,0.758,0.7848
RUNNING WITH RIFLES,action,mid_price,very_positive,5999,87.6,0.727,0.673,0.87,0.7847
Misao: Definitive Edition,horror,budget,very_positive,358,97.8,0.856,0.538,0.872,0.7843
Assassin’s Creed® Brotherhood,action,mid_price,very_positive,7605,87.8,0.708,0.68,0.873,0.7835
Megabyte Punch,action,mid_price,very_positive,974,88.9,0.727,0.695,0.855,0.7832
DeathSpank,rpg,budget,very_positive,574,94.1,0.739,0.645,0.874,0.7828
Geometry Wars™ 3: Dimensions Evolved,action,mid_price,very_positive,1010,90.1,0.727,0.673,0.865,0.7826
F.E.A.R. 2: Project Origin,horror,budget,very_positive,3783,86.5,0.856,0.558,0.857,0.7816
Hotline Miami,action,budget,overwhelmingly_positive,47020,97.4,0.531,0.648,0.973,0.7811
Shaolin vs Wutang,indie,mid_price,very_positive,611,93.8,0.76,0.615,0.874,0.7809
The Letter - Horror Visual Novel,visual_novel,mid_price,very_positive,528,92.6,0.682,0.721,0.861,0.7808
The Talos Principle VR,adventure,mid_price,very_positive,364,87.4,0.788,0.701,0.816,0.7802
Arma 2: Operation Arrowhead,simulation,mid_price,very_positive,19202,92.1,0.727,0.557,0.918,0.78
Volgarr the Viking,platformer,budget,mostly_positive,2085,81.4,0.776,0.73,0.806,0.7794
>observer_,cyberpunk,mid_price,mostly_positive,3051,80.9,0.773,0.737,0.803,0.7792
Road Redemption,racing,mid_price,mostly_positive,5844,81.9,0.817,0.668,0.816,0.7791
Lovely Planet,indie,budget,very_positive,2273,92.0,0.669,0.647,0.9,0.779
Serious Sam HD: The First Encounter,fps,mid_price,very_positive,4219,93.6,0.635,0.631,0.924,0.7784
Croixleur Sigma,anime,budget,mostly_positive,330,81.2,0.79,0.763,0.78,0.7783
Sniper Elite: Nazi Zombie Army,zombies,mid_price,very_positive,3650,87.8,0.678,0.699,0.868,0.778
RACE 07,racing,budget,mostly_positive,2032,82.9,0.996,0.48,0.818,0.7779
Acceleration of SUGURI X-Edition HD,anime,budget,mostly_positive,213,82.6,0.79,0.763,0.779,0.7776
Nippon Marathon,racing,mid_price,very_positive,133,91.7,0.817,0.694,0.798,0.7769
Action Henk,racing,mid_price,very_positive,625,89.0,0.666,0.755,0.843,0.7766
MegaTagmension Blanc + Neptune VS Zombies (Neptunia),anime,mid_price,very_positive,1101,89.6,0.635,0.744,0.863,0.7765
Mr. Shifty,action,mid_price,very_positive,990,87.1,0.727,0.695,0.842,0.7764
Vanquish,action,mid_price,very_positive,2687,87.8,0.708,0.665,0.865,0.7757
Headlander,action,mid_price,very_positive,638,90.1,0.727,0.673,0.851,0.7756
Quake III Arena,fps,mid_price,overwhelmingly_positive,1428,95.4,0.635,0.631,0.918,0.7754
Zombie Driver HD,zombies,budget,mostly_positive,2431,84.3,0.79,0.647,0.832,0.7754
Depth,action,mid_price,very_positive,25857,86.6,0.708,0.665,0.864,0.7754
Zero Escape: Zero Time Dilemma,puzzle,mid_price,very_positive,1510,91.5,0.657,0.668,0.887,0.7747
Foul Play,beat_em_up,budget,mostly_positive,600,82.2,0.776,0.73,0.796,0.7746
Guts and Glory,gore,mid_price,mostly_positive,1256,80.5,0.773,0.738,0.793,0.7746
Zombie Army Trilogy,zombies,mid_price,very_positive,9802,86.4,0.678,0.699,0.861,0.7745
Heliborne,flight,mid_price,mostly_positive,1727,79.8,0.773,0.738,0.791,0.7732
MagiCat,platformer,budget,very_positive,94,94.7,0.776,0.73,0.793,0.7732
Cobalt,action,mid_price,very_positive,609,90.5,0.708,0.68,0.852,0.7732
ClickRaid,clicker,budget,mostly_positive,268,84.7,0.776,0.73,0.793,0.7732
Tumblestone,indie,mid_price,mostly_positive,903,78.3,0.785,0.76,0.774,0.7731
Nova Drift,indie,mid_price,very_positive,215,98.6,0.721,0.677,0.846,0.7724
"Hot Dogs, Horseshoes & Hand Grenades",simulation,mid_price,overwhelmingly_positive,3153,96.9,0.6,0.59,0.949,0.772
Battlefield: Bad Company™ 2,fps,mid_price,very_positive,26970,85.6,0.678,0.699,0.855,0.7716
Lucah: Born of a Dream,action,mid_price,very_positive,160,99.4,0.727,0.695,0.832,0.7714
Tesla vs Lovecraft,action,mid_price,very_positive,461,88.7,0.727,0.695,0.831,0.7712
Crysis,fps,budget,mostly_positive,7352,82.6,0.79,0.649,0.823,0.7712
20XX,platformer,mid_price,very_positive,2796,92.7,0.635,0.631,0.909,0.7712
Boson X,indie,budget,very_positive,1393,92.5,0.662,0.636,0.893,0.771
GOCCO OF WAR,anime,mid_price,very_positive,935,88.7,0.635,0.744,0.852,0.7709
LEGO® Batman™ 2: DC Super Heroes,lego,mid_price,very_positive,1098,88.3,0.678,0.699,0.853,0.7707
Orcs Must Die!,tower_defense,budget,overwhelmingly_positive,5551,96.8,0.582,0.588,0.956,0.7706
Singularity™,fps,mid_price,very_positive,2993,92.4,0.635,0.631,0.908,0.7705
Guacamelee! Super Turbo Championship Edition,metroidvania,mid_price,very_positive,1850,93.4,0.635,0.631,0.908,0.7705
Layers of Fear,horror,mid_price,very_positive,16233,89.6,0.643,0.652,0.894,0.7705
Altitude,free_to_play,free,very_positive,1668,92.3,0.68,0.606,0.896,0.7695
Darksiders Warmastered Edition,action,mid_price,mostly_positive,6183,84.9,0.708,0.68,0.844,0.7693
The Messenger,action,mid_price,overwhelmingly_positive,1936,95.4,0.609,0.617,0.926,0.7692
Q.U.B.E. 2,adventure,mid_price,mostly_positive,663,82.5,0.785,0.691,0.8,0.769
Overcooked,local_multiplayer,mid_price,very_positive,7303,91.1,0.635,0.631,0.904,0.7688
Street Legal Racing: Redline v2.3.1,racing,budget,mostly_positive,1475,80.9,0.996,0.48,0.799,0.7682
Castle Crashers®,action,budget,overwhelmingly_positive,52336,96.1,0.531,0.619,0.959,0.7672
Sublevel Zero Redux,indie,mid_price,very_positive,461,89.4,0.721,0.677,0.835,0.7672
Marble It Up!,action,mid_price,very_positive,187,94.7,0.727,0.695,0.822,0.7669
Worms W.M.D,strategy,mid_price,mostly_positive,2660,80.2,0.758,0.717,0.796,0.7668
F1 2012™,racing,mid_price,very_positive,1623,89.2,0.713,0.616,0.869,0.7667
Super Indie Karts,racing,mid_price,mostly_positive,241,81.7,0.817,0.694,0.777,0.7665
Pikuniku,indie,mid_price,very_positive,261,93.5,0.721,0.677,0.833,0.7663
Condemned: Criminal Origins,horror,budget,mostly_positive,1464,84.9,0.856,0.547,0.831,0.7663
Slash It 2,indie,budget,very_positive,858,93.0,0.662,0.636,0.882,0.7657
Polyball,racing,mid_price,mostly_positive,192,82.3,0.817,0.694,0.775,0.7656
Strike Suit Zero,space,mid_price,mostly_positive,1550,78.1,0.773,0.738,0.775,0.7656
Invisigun Heroes,indie,mid_price,very_positive,268,92.9,0.721,0.677,0.832,0.7656
Assassin's Creed® Revelations,action,mid_price,mostly_positive,6967,84.9,0.708,0.665,0.844,0.7654
Year Walk,horror,budget,very_positive,1666,91.2,0.666,0.622,0.886,0.7654
Assetto Corsa,racing,mid_price,very_positive,17614,86.7,0.713,0.616,0.865,0.765
Totally Accurate Battlegrounds,battle_royale,budget,mostly_positive,25851,81.1,0.79,0.649,0.81,0.7647
JYDGE,action,mid_price,very_positive,438,86.8,0.727,0.695,0.818,0.7645
CRYPTARK,action,mid_price,mostly_positive,733,84.7,0.727,0.695,0.818,0.7644
Duet,indie,budget,very_positive,648,94.1,0.662,0.636,0.879,0.7643
Timberman,action,budget,very_positive,5489,93.6,0.587,0.617,0.926,0.7642
Galacide,shoot_em_up,budget,very_positive,76,89.5,0.776,0.73,0.775,0.7642
Super Cane Magic ZERO,action,mid_price,very_positive,206,95.6,0.727,0.665,0.831,0.7637
"RIVE: Wreck, Hack, Die, Retry!",action,mid_price,very_positive,692,86.3,0.727,0.673,0.827,0.7635
Space Pirate Trainer,action,mid_price,overwhelmingly_positive,1993,95.8,0.609,0.585,0.93,0.7633
RWBY: Grimm Eclipse,action,mid_price,mostly_positive,10674,82.9,0.727,0.673,0.826,0.7631
GARAGE: Bad Trip,gore,mid_price,mostly_positive,111,83.8,0.773,0.738,0.77,0.763
Among the Sleep - Enhanced Edition,horror,mid_price,very_positive,4505,86.5,0.643,0.694,0.858,0.763
TO THE TOP,indie,mid_price,very_positive,471,89.8,0.76,0.615,0.839,0.763
A Robot Named Fight!,action,mid_price,very_positive,301,90.0,0.727,0.673,0.823,0.7614
Inside My Radio,indie,mid_price,very_positive,391,90.3,0.76,0.615,0.834,0.7609
Dishonored®: Death of the Outsider™,stealth,mid_price,mostly_positive,3405,84.1,0.678,0.699,0.833,0.7608
Tom Clancy’s Splinter Cell Blacklist,stealth,mid_price,mostly_positive,11998,83.5,0.678,0.699,0.833,0.7604
Beat Hazard 2,indie,mid_price,very_positive,303,92.1,0.76,0.615,0.833,0.7604
Doom 3: BFG Edition,fps,mid_price,mostly_positive,4729,83.7,0.678,0.701,0.831,0.7603
Pharaonic,adventure,mid_price,mostly_positive,182,82.4,0.788,0.701,0.775,0.7599
The Bug Butcher,indie,budget,very_positive,1031,91.1,0.669,0.624,0.873,0.7599
APE OUT,indie,mid_price,very_positive,280,92.5,0.76,0.615,0.832,0.7597
